UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  0 20:12 ?        00:00:03 /sbin/init
root           2       0  0 20:12 ?        00:00:00 [kthreadd]
root           3       2  0 20:12 ?        00:00:00 [pool_workqueue_release]
root           4       2  0 20:12 ?        00:00:00 [kworker/R-rcu_g]
root           5       2  0 20:12 ?        00:00:00 [kworker/R-rcu_p]
root           6       2  0 20:12 ?        00:00:00 [kworker/R-slub_]
root           7       2  0 20:12 ?        00:00:00 [kworker/R-netns]
root          10       2  0 20:12 ?        00:00:00 [kworker/0:0H-events_highpri]
root          12       2  0 20:12 ?        00:00:00 [kworker/R-mm_pe]
root          13       2  0 20:12 ?        00:00:00 [rcu_tasks_rude_kthread]
root          14       2  0 20:12 ?        00:00:00 [rcu_tasks_trace_kthread]
root          15       2  0 20:12 ?        00:00:00 [ksoftirqd/0]
root          16       2  0 20:12 ?        00:00:00 [rcu_sched]
root          17       2  0 20:12 ?        00:00:00 [migration/0]
root          18       2  0 20:12 ?        00:00:00 [idle_inject/0]
root          19       2  0 20:12 ?        00:00:00 [cpuhp/0]
root          20       2  0 20:12 ?        00:00:00 [kdevtmpfs]
root          21       2  0 20:12 ?        00:00:00 [kworker/R-inet_]
root          22       2  0 20:12 ?        00:00:00 [kworker/u30:1-events_unbound]
root          23       2  0 20:12 ?        00:00:00 [kauditd]
root          24       2  0 20:12 ?        00:00:00 [khungtaskd]
root          25       2  0 20:12 ?        00:00:00 [oom_reaper]
root          27       2  0 20:12 ?        00:00:00 [kworker/R-write]
root          28       2  0 20:12 ?        00:00:00 [kcompactd0]
root          29       2  0 20:12 ?        00:00:00 [ksmd]
root          30       2  0 20:12 ?        00:00:00 [khugepaged]
root          31       2  0 20:12 ?        00:00:00 [kworker/R-kinte]
root          32       2  0 20:12 ?        00:00:00 [kworker/R-kbloc]
root          33       2  0 20:12 ?        00:00:00 [kworker/R-blkcg]
root          34       2  0 20:12 ?        00:00:00 [irq/9-acpi]
root          35       2  0 20:12 ?        00:00:00 [xen-balloon]
root          36       2  0 20:12 ?        00:00:00 [kworker/R-tpm_d]
root          37       2  0 20:12 ?        00:00:00 [kworker/R-ata_s]
root          38       2  0 20:12 ?        00:00:00 [kworker/R-md]
root          39       2  0 20:12 ?        00:00:00 [kworker/R-md_bi]
root          40       2  0 20:12 ?        00:00:00 [kworker/R-edac-]
root          41       2  0 20:12 ?        00:00:00 [kworker/R-devfr]
root          42       2  0 20:12 ?        00:00:00 [watchdogd]
root          43       2  0 20:12 ?        00:00:00 [kworker/0:1H-kblockd]
root          44       2  0 20:12 ?        00:00:00 [kswapd0]
root          45       2  0 20:12 ?        00:00:00 [ecryptfs-kthread]
root          46       2  0 20:12 ?        00:00:00 [kworker/R-kthro]
root          47       2  0 20:12 ?        00:00:00 [kworker/R-acpi_]
root          48       2  0 20:12 ?        00:00:00 [xenbus]
root          49       2  0 20:12 ?        00:00:00 [xenwatch]
root          50       2  0 20:12 ?        00:00:00 [kworker/R-nvme-]
root          51       2  0 20:12 ?        00:00:00 [kworker/R-nvme-]
root          52       2  0 20:12 ?        00:00:00 [kworker/R-nvme-]
root          53       2  0 20:12 ?        00:00:00 [kworker/R-nvme-]
root          54       2  0 20:12 ?        00:00:00 [scsi_eh_0]
root          55       2  0 20:12 ?        00:00:00 [kworker/R-scsi_]
root          56       2  0 20:12 ?        00:00:00 [scsi_eh_1]
root          57       2  0 20:12 ?        00:00:00 [kworker/R-scsi_]
root          58       2  0 20:12 ?        00:00:00 [kworker/R-mld]
root          59       2  0 20:12 ?        00:00:00 [kworker/R-ipv6_]
root          66       2  0 20:12 ?        00:00:00 [kworker/R-kstrp]
root          68       2  0 20:12 ?        00:00:00 [kworker/u31:0]
root          81       2  0 20:12 ?        00:00:00 [kworker/R-charg]
root          82       2  0 20:12 ?        00:00:00 [jbd2/xvda1-8]
root          83       2  0 20:12 ?        00:00:00 [kworker/R-ext4-]
root         138       1  0 20:12 ?        00:00:00 /usr/lib/systemd/systemd-journald
root         143       2  0 20:12 ?        00:00:00 [kworker/R-kmpat]
root         144       2  0 20:12 ?        00:00:00 [kworker/R-kmpat]
root         181       1  0 20:12 ?        00:00:00 /sbin/multipathd -d -s
root         186       1  0 20:12 ?        00:00:00 /usr/lib/systemd/systemd-udevd
root         207       2  0 20:12 ?        00:00:00 [psimon]
root         272       2  0 20:12 ?        00:00:00 [jbd2/xvda16-8]
root         273       2  0 20:12 ?        00:00:00 [kworker/R-ext4-]
systemd+     336       1  0 20:12 ?        00:00:00 /usr/lib/systemd/systemd-resolved
root         423       2  0 20:12 ?        00:00:00 [kworker/R-crypt]
root         431       2  0 20:12 ?        00:00:00 [kworker/0:3-mm_percpu_wq]
systemd+     471       1  0 20:12 ?        00:00:00 /usr/lib/systemd/systemd-networkd
root         512       1  0 20:12 ?        00:00:00 /usr/lib/systemd/systemd-logind
root         513       1  0 20:12 ?        00:00:00 /usr/sbin/acpid
root         517       1  0 20:12 ?        00:00:00 /usr/sbin/cron -f -P
message+     518       1  0 20:12 ?        00:00:00 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root         539       1  0 20:12 ?        00:00:00 /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
polkitd      540       1  0 20:12 ?        00:00:00 /usr/lib/polkit-1/polkitd --no-debug
root         549       1  0 20:12 ?        00:00:00 /snap/amazon-ssm-agent/7993/amazon-ssm-agent
root         566       1  0 20:12 ?        00:00:00 /usr/lib/snapd/snapd
root         588       1  0 20:12 ?        00:00:00 /usr/libexec/udisks2/udisksd
syslog       651       1  0 20:12 ?        00:00:00 /usr/sbin/rsyslogd -n -iNONE
root         703       1  0 20:12 ?        00:00:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
_chrony      713       1  0 20:12 ?        00:00:00 /usr/sbin/chronyd -F 1
_chrony      715     713  0 20:12 ?        00:00:00 /usr/sbin/chronyd -F 1
root         755       1  0 20:12 ?        00:00:00 /usr/sbin/ModemManager
root         774       1  0 20:12 ttyS0    00:00:00 /sbin/agetty -o -p -- \u --keep-baud 115200,57600,38400,9600 - vt220
root         777       1  0 20:12 tty1     00:00:00 /sbin/agetty -o -p -- \u --noclear - linux
root         827       1  0 20:13 ?        00:00:00 sshd: /usr/sbin/sshd -D -o AuthorizedKeysCommand /usr/share/ec2-instance-connect/eic_run_authorized_keys %u %f -o AuthorizedKeysCommandUser ec2-instance-connect [listener] 0 of 10-100 startups
root         828     827  0 20:13 ?        00:00:00 sshd: ubuntu [priv]
root         830     827  0 20:13 ?        00:00:00 sshd: ubuntu [priv]
root         832       2  0 20:13 ?        00:00:00 [psimon]
ubuntu       834       1  0 20:13 ?        00:00:00 /usr/lib/systemd/systemd --user
ubuntu       835     834  0 20:13 ?        00:00:00 (sd-pam)
ubuntu       944     828  0 20:13 ?        00:00:00 sshd: ubuntu@pts/0
ubuntu       945     944  0 20:13 pts/0    00:00:00 -bash
ubuntu      1000     830  0 20:13 ?        00:00:00 sshd: ubuntu@notty
ubuntu      1001    1000  0 20:13 ?        00:00:00 /usr/lib/openssh/sftp-server
ubuntu      1231     945  0 20:42 pts/0    00:00:00 git log
ubuntu      1232    1231  0 20:42 pts/0    00:00:00 /usr/bin/pager
root        1358       2  0 20:58 ?        00:00:00 [kworker/u30:0-events_unbound]
root        1451       2  0 21:09 ?        00:00:00 [kworker/0:1-cgroup_destroy]
root        1456       2  0 21:11 ?        00:00:00 [kworker/u30:2-events_unbound]
root        1493       2  0 21:16 ?        00:00:00 [kworker/u30:3-events_power_efficient]
ubuntu      1513     945  0 21:19 pts/0    00:00:00 ps -ef
